month,total,timeRange.start,timeRange.end,,countryCode,country_Name,Two_Letter_Country_Code
2001-01-01T00:00:00.000Z,434,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z,,US,"Afghanistan, Islamic Republic of",AF
2001-02-01T00:00:00.000Z,852,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z,,GB,Åland Islands,AL
2001-03-01T00:00:00.000Z,1655,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z,,IN,"Albania, Republic of",AQ
2001-04-01T00:00:00.000Z,1131,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z,,CA,"Algeria, People's Democratic Republic of",DZ
2001-05-01T00:00:00.000Z,2247,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z,,AU,American Samoa,AS
2001-06-01T00:00:00.000Z,1372,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z,,DE,"Andorra, Principality of",AD
2001-07-01T00:00:00.000Z,2471,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,,PH,"Angola, Republic of",AO
2001-08-01T00:00:00.000Z,3828,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z,,IT,Anguilla,AG
2001-09-01T00:00:00.000Z,6720,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z,,FR,Antarctica (the territory South of 60 deg S),AZ
2001-10-01T00:00:00.000Z,11346,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z,,BR,Antigua and Barbuda,AZ
2001-11-01T00:00:00.000Z,16637,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z,,MY,"Argentina, Argentine Republic",AR
2001-12-01T00:00:00.000Z,24514,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z,,NL,"Armenia, Republic of",AU
2002-01-01T00:00:00.000Z,17305,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z,,ID,"Armenia, Republic of",AT
2002-02-01T00:00:00.000Z,54375,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z,,IE,Aruba,BS
2002-03-01T00:00:00.000Z,24298,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z,,ES,"Australia, Commonwealth of",BH
2002-04-01T00:00:00.000Z,20790,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,,SG,"Austria, Republic of",BD
2002-05-01T00:00:00.000Z,19559,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z,,SE,"Azerbaijan, Republic of",AM
2002-06-01T00:00:00.000Z,29655,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z,,GR,"Azerbaijan, Republic of",AM
2002-07-01T00:00:00.000Z,33722,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,,JP,"Bahamas, Commonwealth of the",BB
2002-08-01T00:00:00.000Z,60531,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z,,IL,"Bahrain, Kingdom of",BE
2002-09-01T00:00:00.000Z,84129,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,,NZ,"Bangladesh, People's Republic of",BM
2002-10-01T00:00:00.000Z,109581,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z,,PL,Barbados,BT
