page_title,edits,rank,time
Project:Sandbox,8083,1,2011-04-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,7884,2,2011-04-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,6819,3,2011-04-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,6675,4,2011-04-01T00:00:00.000Z
Template talk:Did_you_know,5571,5,2011-04-01T00:00:00.000Z
User:AmandaNP/UAA/Time,3446,6,2011-04-01T00:00:00.000Z
Project:Reference_desk/Science,3351,7,2011-04-01T00:00:00.000Z
Project:Reference_desk/Humanities,2984,8,2011-04-01T00:00:00.000Z
Project:Requests_for_page_protection,2675,9,2011-04-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2655,10,2011-04-01T00:00:00.000Z
Project:In_the_news/Candidates,2642,11,2011-04-01T00:00:00.000Z
Project:Open_proxy_detection,2544,12,2011-04-01T00:00:00.000Z
Project:Help_desk,2360,13,2011-04-01T00:00:00.000Z
Project:WikiProject_Spam/LinkReports,2131,14,2011-04-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1822,15,2011-04-01T00:00:00.000Z
Talk:Murder_of_Meredith_Kercher,1741,16,2011-04-01T00:00:00.000Z
Project:Village_pump_(proposals)/Proposal_to_require_autoconfirmed_status_in_order_to_create_articles,1622,17,2011-04-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,1607,18,2011-04-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1548,19,2011-04-01T00:00:00.000Z
Project:Administrators'_noticeboard,1532,20,2011-04-01T00:00:00.000Z
Deaths_in_2011,1515,21,2011-04-01T00:00:00.000Z
Project:Reference_desk/Language,1507,22,2011-04-01T00:00:00.000Z
User:VeblenBot/PERtable,1440,23,2011-04-01T00:00:00.000Z
User:VeblenBot/SPERtable,1439,24,2011-04-01T00:00:00.000Z
Project:Reference_desk/Computing,1435,25,2011-04-01T00:00:00.000Z
User:X!/RfX_Report,1435,26,2011-04-01T00:00:00.000Z
Chevrolet_Vega,1347,27,2011-04-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,1337,28,2011-04-01T00:00:00.000Z
Project:Reference_desk/Mathematics,1184,29,2011-04-01T00:00:00.000Z
User:Δ/Sandbox,1152,30,2011-04-01T00:00:00.000Z
Talk:First_Libyan_Civil_War,1139,31,2011-04-01T00:00:00.000Z
American_Idol_(season_10),1121,32,2011-04-01T00:00:00.000Z
Dancing_with_the_Stars_(American_season_12),1116,33,2011-04-01T00:00:00.000Z
Miami_Showband_killings,1094,34,2011-04-01T00:00:00.000Z
2011_Stanley_Cup_playoffs,1090,35,2011-04-01T00:00:00.000Z
Project:Wikiquette_assistance,1070,36,2011-04-01T00:00:00.000Z
Extreme_Rules_(2011),1036,37,2011-04-01T00:00:00.000Z
Project:Village_pump_(proposals),1017,38,2011-04-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1006,39,2011-04-01T00:00:00.000Z
Project:Good_article_nominations,990,40,2011-04-01T00:00:00.000Z
