mw-tag-marker-mw-undo,mw-userlink,comment--without-parentheses
,ORSfan,Added a comma.
Undo,Dhtwiki,"Undid revision 1015596921 by ShauryaOMG (talk) none were deaths ""...at the hands of hostile forces"" (see Killed in action)"
,ShauryaOMG,Added Three Links
,ShauryaOMG,Added KIA
Undo,Nick-D,revert unhelpful edits
,Zahsj,changing
,Zahsj,changing
Undo,Ealdgyth,much too specific
,Zahsj,changing
Undo,David notMD,Restored revision 1013763604 by Mgasparin (talk): Month and day not needed
,Zahsj,changing
,Zahsj,changing
,Mgasparin,"→‎Genocide, concentration camps, and slave labour:  minor word change."
,Buidhe,→‎top:  WP:UNDUE
Undo,Nick-D,Undid revision 1012030315 by Foorgood (talk) I don't see why that would be the case or why this needs to be noted here. Please discuss this proposed change on the article's talk page.
Undo,Foorgood,Undid revision 1012029038 by Nick-D (talk) Very relevant when mentioning this religious genocide. Jews take the Holocaust as a very personal attack on their religion by another ideology supported by religious group. Religion was the most decisive factor in Nazi vote.
Undo,Nick-D,"Undid revision 1012026553 by Foorgood (talk) unclear what the relevance is, or why the issue needs to be noted in this top-level article"
,Foorgood,"→‎Genocide, concentration camps, and slave labour: Very important when mentioning this religious genocide. Religion was the most decisive factor in Nazi vote."
,TheTimesAreAChanging,Removed unreliable source per WP:RSP.
,Foorgood,→‎Europe: From here https://en.m.wikipedia.org/wiki/Adolf_Hitler%27s_rise_to_power
,HueMan1,
,Maurice Oly,Added link to rank in photo caption.
,KIENGIR,"ok, then we remove this recent addition, btw. my little corrections could not be excessive"
Undo,Dhtwiki,"Reverted good faith edits by KIENGIR (talk): Seems excessive for the lead and possibly something that needs discussion before attempting, given the robust talk page debates on whom to regard as a WW2 leader"
,KIENGIR,m
,LlAfYkS,
,LlAfYkS,
,LlAfYkS,
,LlAfYkS,
,LlAfYkS,
,German people,.
,Rgvis,WP:NPOV
,Billjones94,
,Firebrass11,"→‎Axis collapse, Allied victory (1944–45):  over-running--->overrunning"
,Mark83,→‎Advances in technology and warfare:  +ref
,GreenC bot,Move 1 url. Wayback Medic 2.5
,Combefere,
,AllegedlyHuman,→‎Japanese invasion of China (1937):  the
,JJMC89 bot III,Moving Category:Modern Europe to Category:Late modern Europe per Wikipedia:Categories for discussion/Log/2021 February 20#Late modern period
,Oqwert,Already mentioned below.
,FancyDry,
,Laney145,
,Laney145,
,Laney145,
,Laney145,
